time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-03-31 00:00:00+00:00,2.0,2.0,312,50
2024-04-01 00:00:00+00:00,52.0,12.0,357,57
2024-04-02 00:00:00+00:00,35.0,18.0,879,89
2024-04-03 00:00:00+00:00,28.0,15.0,560,78
2024-04-04 00:00:00+00:00,21.0,10.0,721,78
2024-04-05 00:00:00+00:00,14.0,9.0,497,72
2024-04-06 00:00:00+00:00,40.0,11.0,292,42
2024-04-07 00:00:00+00:00,9.0,8.0,483,48
2024-04-08 00:00:00+00:00,25.0,14.0,619,94
2024-04-09 00:00:00+00:00,17.0,12.0,555,67
2024-04-10 00:00:00+00:00,56.0,16.0,517,78
2024-04-11 00:00:00+00:00,16.0,12.0,374,74
2024-04-12 00:00:00+00:00,18.0,12.0,567,85
2024-04-13 00:00:00+00:00,9.0,8.0,175,53
2024-04-14 00:00:00+00:00,,,4,2
