time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-04-06 00:00:00+00:00,36,7,291.0,41.0
2024-04-07 00:00:00+00:00,9,8,483.0,48.0
2024-04-08 00:00:00+00:00,25,14,619.0,94.0
2024-04-09 00:00:00+00:00,17,12,555.0,67.0
2024-04-10 00:00:00+00:00,56,16,517.0,78.0
2024-04-11 00:00:00+00:00,16,12,374.0,74.0
2024-04-12 00:00:00+00:00,18,12,567.0,85.0
2024-04-13 00:00:00+00:00,9,8,175.0,53.0
2024-04-14 00:00:00+00:00,14,12,201.0,49.0
2024-04-15 00:00:00+00:00,40,13,793.0,83.0
2024-04-16 00:00:00+00:00,66,18,576.0,87.0
2024-04-17 00:00:00+00:00,57,15,593.0,101.0
2024-04-18 00:00:00+00:00,29,16,442.0,84.0
2024-04-19 00:00:00+00:00,14,10,514.0,91.0
2024-04-20 00:00:00+00:00,2,2,,
