url_path,views_total,views_unique
/SuperDuperDB/superduperdb,1073,501
/SuperDuperDB/superduperdb/pulls,346,30
/SuperDuperDB/superduperdb/blob/main/README_zh.md,243,62
/SuperDuperDB/superduperdb/issues,238,40
/SuperDuperDB/superduperdb/tree/main/superduperdb,146,28
/SuperDuperDB/superduperdb/tree/main/examples,108,31
/SuperDuperDB/superduperdb/blob/main/examples/chat_with_your_database.ipynb,106,22
/SuperDuperDB/superduperdb/tree/docs/reusable_snippets/docs/hr/content/docs/reusable_snippets,75,5
/SuperDuperDB/superduperdb/blob/main/examples/question_the_docs.ipynb,72,15
/SuperDuperDB/superduperdb/blob/main/CONTRIBUTING.md,69,8
