time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-03-28 00:00:00+00:00,25,14,323,72
2024-03-29 00:00:00+00:00,12,7,778,81
2024-03-30 00:00:00+00:00,14,9,163,47
2024-03-31 00:00:00+00:00,6,6,317,54
2024-04-01 00:00:00+00:00,52,12,357,57
2024-04-02 00:00:00+00:00,35,18,879,89
2024-04-03 00:00:00+00:00,28,15,560,78
2024-04-04 00:00:00+00:00,21,10,721,78
2024-04-05 00:00:00+00:00,14,9,497,72
2024-04-06 00:00:00+00:00,40,11,292,42
2024-04-07 00:00:00+00:00,9,8,483,48
2024-04-08 00:00:00+00:00,25,14,619,94
2024-04-09 00:00:00+00:00,17,12,555,67
2024-04-10 00:00:00+00:00,56,16,517,78
