time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-03-30 00:00:00+00:00,10,5,145.0,42.0
2024-03-31 00:00:00+00:00,6,6,317.0,54.0
2024-04-01 00:00:00+00:00,52,12,357.0,57.0
2024-04-02 00:00:00+00:00,35,18,879.0,89.0
2024-04-03 00:00:00+00:00,28,15,560.0,78.0
2024-04-04 00:00:00+00:00,21,10,721.0,78.0
2024-04-05 00:00:00+00:00,14,9,497.0,72.0
2024-04-06 00:00:00+00:00,40,11,292.0,42.0
2024-04-07 00:00:00+00:00,9,8,483.0,48.0
2024-04-08 00:00:00+00:00,25,14,619.0,94.0
2024-04-09 00:00:00+00:00,17,12,555.0,67.0
2024-04-10 00:00:00+00:00,56,16,517.0,78.0
2024-04-11 00:00:00+00:00,16,12,374.0,74.0
2024-04-12 00:00:00+00:00,18,12,567.0,85.0
2024-04-13 00:00:00+00:00,2,2,,
