url_path,views_total,views_unique
/SuperDuperDB/superduperdb,1179,554
/SuperDuperDB/superduperdb/pulls,405,31
/SuperDuperDB/superduperdb/issues,289,41
/SuperDuperDB/superduperdb/blob/main/README_zh.md,192,74
/SuperDuperDB/superduperdb/tree/main/examples,136,34
/SuperDuperDB/superduperdb/tree/main/superduperdb,124,25
/SuperDuperDB/superduperdb/blob/main/examples/chat_with_your_database.ipynb,116,22
/SuperDuperDB/superduperdb/blob/main/examples/question_the_docs.ipynb,82,16
/SuperDuperDB/superduperdb/blob/main/CONTRIBUTING.md,80,9
/SuperDuperDB/superduperdb/commits/main/CHANGELOG.md,75,1
