url_path,views_total,views_unique
/SuperDuperDB/superduperdb,1100,541
/SuperDuperDB/superduperdb/pulls,311,26
/SuperDuperDB/superduperdb/blob/main/README_zh.md,304,94
/SuperDuperDB/superduperdb/tree/main/superduperdb,173,30
/SuperDuperDB/superduperdb/issues,172,33
/SuperDuperDB/superduperdb/tree/main/examples,107,35
/SuperDuperDB/superduperdb/tree/main/superduperdb/backends,88,14
/SuperDuperDB/superduperdb/tree/main,47,28
/SuperDuperDB/superduperdb/blob/main/examples/chat_with_your_database.ipynb,47,15
/SuperDuperDB/superduperdb/projects,46,9
