time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-03-18 00:00:00+00:00,22,9,458.0,83.0
2024-03-19 00:00:00+00:00,16,10,297.0,85.0
2024-03-20 00:00:00+00:00,45,17,417.0,95.0
2024-03-21 00:00:00+00:00,58,23,749.0,74.0
2024-03-22 00:00:00+00:00,52,19,374.0,66.0
2024-03-23 00:00:00+00:00,16,11,302.0,44.0
2024-03-24 00:00:00+00:00,7,7,339.0,50.0
2024-03-25 00:00:00+00:00,42,9,784.0,84.0
2024-03-26 00:00:00+00:00,26,10,995.0,109.0
2024-03-27 00:00:00+00:00,32,11,601.0,93.0
2024-03-28 00:00:00+00:00,32,19,336.0,73.0
2024-03-29 00:00:00+00:00,12,7,778.0,81.0
2024-03-30 00:00:00+00:00,14,9,163.0,47.0
2024-03-31 00:00:00+00:00,6,6,316.0,54.0
2024-04-01 00:00:00+00:00,2,2,,
