time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-03-14 00:00:00+00:00,39,6,385.0,75.0
2024-03-15 00:00:00+00:00,51,21,554.0,97.0
2024-03-16 00:00:00+00:00,14,6,220.0,52.0
2024-03-17 00:00:00+00:00,7,7,90.0,39.0
2024-03-18 00:00:00+00:00,28,14,467.0,88.0
2024-03-19 00:00:00+00:00,16,10,297.0,85.0
2024-03-20 00:00:00+00:00,45,17,417.0,95.0
2024-03-21 00:00:00+00:00,58,23,749.0,74.0
2024-03-22 00:00:00+00:00,52,19,374.0,66.0
2024-03-23 00:00:00+00:00,16,11,302.0,44.0
2024-03-24 00:00:00+00:00,7,7,339.0,50.0
2024-03-25 00:00:00+00:00,42,9,784.0,84.0
2024-03-26 00:00:00+00:00,26,10,995.0,109.0
2024-03-27 00:00:00+00:00,32,11,601.0,93.0
2024-03-28 00:00:00+00:00,2,2,,
