url_path,views_total,views_unique
/SuperDuperDB/superduperdb,1076,501
/SuperDuperDB/superduperdb/pulls,339,27
/SuperDuperDB/superduperdb/blob/main/README_zh.md,254,62
/SuperDuperDB/superduperdb/issues,230,35
/SuperDuperDB/superduperdb/tree/main/superduperdb,153,28
/SuperDuperDB/superduperdb/tree/main/examples,112,33
/SuperDuperDB/superduperdb/blob/main/examples/chat_with_your_database.ipynb,101,20
/SuperDuperDB/superduperdb/tree/docs/reusable_snippets/docs/hr/content/docs/reusable_snippets,79,5
/SuperDuperDB/superduperdb/blob/main/CONTRIBUTING.md,77,8
/SuperDuperDB/superduperdb/tree/docs/reusable_snippets/docs,74,7
