time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-03-24 00:00:00+00:00,3,3,313.0,46.0
2024-03-25 00:00:00+00:00,42,9,784.0,84.0
2024-03-26 00:00:00+00:00,26,10,995.0,109.0
2024-03-27 00:00:00+00:00,32,11,601.0,93.0
2024-03-28 00:00:00+00:00,32,19,336.0,73.0
2024-03-29 00:00:00+00:00,12,7,778.0,81.0
2024-03-30 00:00:00+00:00,14,9,163.0,47.0
2024-03-31 00:00:00+00:00,6,6,317.0,54.0
2024-04-01 00:00:00+00:00,52,12,357.0,57.0
2024-04-02 00:00:00+00:00,35,18,879.0,89.0
2024-04-03 00:00:00+00:00,28,15,560.0,78.0
2024-04-04 00:00:00+00:00,21,10,721.0,78.0
2024-04-05 00:00:00+00:00,14,9,497.0,72.0
2024-04-06 00:00:00+00:00,40,11,292.0,42.0
2024-04-07 00:00:00+00:00,2,2,,
