time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-04-05 00:00:00+00:00,10.0,5.0,469,70
2024-04-06 00:00:00+00:00,40.0,11.0,292,42
2024-04-07 00:00:00+00:00,9.0,8.0,483,48
2024-04-08 00:00:00+00:00,25.0,14.0,619,94
2024-04-09 00:00:00+00:00,17.0,12.0,555,67
2024-04-10 00:00:00+00:00,56.0,16.0,517,78
2024-04-11 00:00:00+00:00,16.0,12.0,374,74
2024-04-12 00:00:00+00:00,18.0,12.0,567,85
2024-04-13 00:00:00+00:00,9.0,8.0,175,53
2024-04-14 00:00:00+00:00,14.0,12.0,201,49
2024-04-15 00:00:00+00:00,40.0,13.0,793,83
2024-04-16 00:00:00+00:00,66.0,18.0,576,87
2024-04-17 00:00:00+00:00,57.0,15.0,593,101
2024-04-18 00:00:00+00:00,29.0,16.0,442,84
2024-04-19 00:00:00+00:00,,,5,2
