time_iso8601,stars_cumulative
2024-01-12 00:00:00+00:00,3803
2024-01-13 00:00:00+00:00,3807
2024-01-14 00:00:00+00:00,3813
2024-01-15 00:00:00+00:00,3823
2024-01-16 00:00:00+00:00,3830
2024-01-17 00:00:00+00:00,3839
2024-01-18 00:00:00+00:00,3846
2024-01-19 00:00:00+00:00,3853
2024-01-20 00:00:00+00:00,3857
2024-01-21 00:00:00+00:00,3863
2024-01-22 00:00:00+00:00,3867
2024-01-23 00:00:00+00:00,3873
2024-01-24 00:00:00+00:00,3879
2024-01-25 00:00:00+00:00,3890
2024-01-26 00:00:00+00:00,3898
2024-01-27 00:00:00+00:00,3900
2024-01-28 00:00:00+00:00,3905
2024-01-29 00:00:00+00:00,3909
2024-01-30 00:00:00+00:00,3938
2024-01-31 00:00:00+00:00,3968
2024-02-01 00:00:00+00:00,3998
2024-02-02 00:00:00+00:00,4033
2024-02-03 00:00:00+00:00,4039
2024-02-04 00:00:00+00:00,4044
2024-02-05 00:00:00+00:00,4050
2024-02-06 00:00:00+00:00,4056
2024-02-07 00:00:00+00:00,4062
2024-02-08 00:00:00+00:00,4064
2024-02-09 00:00:00+00:00,4069
2024-02-10 00:00:00+00:00,4076
2024-02-11 00:00:00+00:00,4079
2024-02-12 00:00:00+00:00,4086
2024-02-13 00:00:00+00:00,4091
2024-02-14 00:00:00+00:00,4093
2024-02-15 00:00:00+00:00,4098
2024-02-16 00:00:00+00:00,4102
2024-02-17 00:00:00+00:00,4104
2024-02-18 00:00:00+00:00,4107
2024-02-19 00:00:00+00:00,4113
2024-02-20 00:00:00+00:00,4118
2024-02-21 00:00:00+00:00,4126
2024-02-22 00:00:00+00:00,4133
2024-02-23 00:00:00+00:00,4137
2024-02-24 00:00:00+00:00,4139
2024-02-25 00:00:00+00:00,4140
2024-02-27 00:00:00+00:00,4143
2024-02-28 00:00:00+00:00,4148
2024-02-29 00:00:00+00:00,4149
2024-03-01 00:00:00+00:00,4152
2024-03-02 00:00:00+00:00,4157
2024-03-03 00:00:00+00:00,4159
2024-03-04 00:00:00+00:00,4161
2024-03-05 00:00:00+00:00,4165
2024-03-06 00:00:00+00:00,4170
2024-03-07 00:00:00+00:00,4174
2024-03-08 00:00:00+00:00,4177
2024-03-09 00:00:00+00:00,4179
2024-03-10 00:00:00+00:00,4183
2024-03-11 00:00:00+00:00,4188
2024-03-12 00:00:00+00:00,4189
2024-03-13 00:00:00+00:00,4190
2024-03-14 00:00:00+00:00,4194
2024-03-15 00:00:00+00:00,4201
2024-03-16 00:00:00+00:00,4203
2024-03-17 00:00:00+00:00,4207
2024-03-18 00:00:00+00:00,4212
2024-03-19 00:00:00+00:00,4214
2024-03-20 00:00:00+00:00,4216
2024-03-21 00:00:00+00:00,4223
2024-03-22 00:00:00+00:00,4224
2024-03-24 00:00:00+00:00,4227
2024-03-25 00:00:00+00:00,4229
